event_type,function_signature,caller_address,pair_address,address,token0_amount,token1_amount,block_number,transaction_hash,block_timestamp
Burn,0xdccd412f0b1252819cb1fd330b93224ca42612892bb3f4f789976e6d81936496,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xaaf2fe003bb967eb7c35a391a2401e966bdb7f95,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,299940191925730009381357101,100019999999999999,22828661,0x16d1686679462b0ab0922ecc12d4212f401e3f711cd3b50bfb3333d1f74334df,1751424539
Burn,0xdccd412f0b1252819cb1fd330b93224ca42612892bb3f4f789976e6d81936496,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe7bd565195d892a48ee77043bdffbe63bb93adbe,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,299922254153278387121718052,100025999999999999,22828678,0x0667f013ef184839dce330ed9ed5537124ab1f299953dce75055a84c6d0709a9,1751424743
event_type,function_signature,caller_address,pair_address,address,token0_amount,token1_amount,block_number,transaction_hash,block_timestamp
Burn,0xdccd412f0b1252819cb1fd330b93224ca42612892bb3f4f789976e6d81936496,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xaaf2fe003bb967eb7c35a391a2401e966bdb7f95,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,299940191925730009381357101,100019999999999999,22828661,0x16d1686679462b0ab0922ecc12d4212f401e3f711cd3b50bfb3333d1f74334df,2025-07-02 02:48:59
Burn,0xdccd412f0b1252819cb1fd330b93224ca42612892bb3f4f789976e6d81936496,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe7bd565195d892a48ee77043bdffbe63bb93adbe,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,299922254153278387121718052,100025999999999999,22828678,0x0667f013ef184839dce330ed9ed5537124ab1f299953dce75055a84c6d0709a9,2025-07-02 02:52:23
