block_time,block_number,transaction_hash,event_type,route_address,pair_address,amount0,amount1
2025-07-02 02:48:11 +00:00,22828657,0xa4420e7baf138cd9789f649404be0f0bef6247d01aa36a3dead309ebe51bfb75,Mint,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0xaAF2fe003BB967EB7C35A391A2401e966bdB7F95,300000000000000000000000000,100000000000000000
2025-07-02 02:48:59 +00:00,22828661,0x16d1686679462b0ab0922ecc12d4212f401e3f711cd3b50bfb3333d1f74334df,Burn,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0xaAF2fe003BB967EB7C35A391A2401e966bdB7F95,299940191925730009381357101,100019999999999999
2025-07-02 02:48:23 +00:00,22828658,0x3899046d1bbefb6e1735a7bdeb1084feff7fcc50a8a92452be2e49b7b4e58d2e,Swap,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0xaAF2fe003BB967EB7C35A391A2401e966bdB7F95,59808074269990563881562,20000000000000
2025-07-02 02:51:47 +00:00,22828675,0x7dfaf403105e4495cede3123598ebf352f5b87c7b54e34ee5efa3c5fb11ca07c,Mint,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0xe7bd565195D892a48eE77043BdffBE63bB93AdBE,300000000000000000000000000,100000000000000000
2025-07-02 02:52:23 +00:00,22828678,0x0667f013ef184839dce330ed9ed5537124ab1f299953dce75055a84c6d0709a9,Burn,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0xe7bd565195D892a48eE77043BdffBE63bB93AdBE,299922254153278387121718052,100025999999999999
2025-07-02 02:51:59 +00:00,22828676,0x151b423dfcab9550a1ae769ae4140c5e5b634f0f08e4abf174e77785e19e5e24,Swap,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0xe7bd565195D892a48eE77043BdffBE63bB93AdBE,77745846721612823523886,26000000000000
2025-07-02 02:54:59 +00:00,22828691,0x67e98c0df07b19855aa598c88369df9b11a247f275dfa12d0772b2d06291f6c8,Mint,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0xB2EfCd0a613BbC59Fd05808A428F40490C237070,590000000000000000000000000,1000000000000000000
