event_type,function_signature,caller_address,pair_address,receiver_address,token0_amount,token1_amount,block_number,transaction_hash,block_timestamp
Swap,0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xaaf2fe003bb967eb7c35a391a2401e966bdb7f95,0x7b4e9914c7f8189ce89f1e24a7f5729e936b01cb,59808074269990563881562,20000000000000,22828658,0x3899046d1bbefb6e1735a7bdeb1084feff7fcc50a8a92452be2e49b7b4e58d2e,1751424503
Swap,0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe7bd565195d892a48ee77043bdffbe63bb93adbe,0x7b4e9914c7f8189ce89f1e24a7f5729e936b01cb,77745846721612823523886,26000000000000,22828676,0x151b423dfcab9550a1ae769ae4140c5e5b634f0f08e4abf174e77785e19e5e24,1751424719
event_type,function_signature,caller_address,pair_address,receiver_address,token0_amount,token1_amount,block_number,transaction_hash,block_timestamp
Swap,0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xaaf2fe003bb967eb7c35a391a2401e966bdb7f95,0x7b4e9914c7f8189ce89f1e24a7f5729e936b01cb,59808074269990563881562,20000000000000,22828658,0x3899046d1bbefb6e1735a7bdeb1084feff7fcc50a8a92452be2e49b7b4e58d2e,2025-07-02 02:48:23
Swap,0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe7bd565195d892a48ee77043bdffbe63bb93adbe,0x7b4e9914c7f8189ce89f1e24a7f5729e936b01cb,77745846721612823523886,26000000000000,22828676,0x151b423dfcab9550a1ae769ae4140c5e5b634f0f08e4abf174e77785e19e5e24,2025-07-02 02:51:59
