block_time,block_number,transaction_hash,event_type,from_address,to_address,token0,token1,amount0,amount1
2025-07-02 02:48:11 +00:00,22828657,0xa4420e7baf138cd9789f649404be0f0bef6247d01aa36a3dead309ebe51bfb75,PairCreated,0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f,0xaAF2fe003BB967EB7C35A391A2401e966bdB7F95,0x245F42Be43035dE23B7Ab956405C70D609E87C62,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0,0
2025-07-02 02:48:11 +00:00,22828657,0xa4420e7baf138cd9789f649404be0f0bef6247d01aa36a3dead309ebe51bfb75,Mint,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0xaAF2fe003BB967EB7C35A391A2401e966bdB7F95,null,null,300000000000000000000000000,100000000000000000
2025-07-02 02:48:59 +00:00,22828661,0x16d1686679462b0ab0922ecc12d4212f401e3f711cd3b50bfb3333d1f74334df,Burn,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,null,null,299940191925730009381357101,100019999999999999
2025-07-02 02:48:23 +00:00,22828658,0x3899046d1bbefb6e1735a7bdeb1084feff7fcc50a8a92452be2e49b7b4e58d2e,Swap,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7b4e9914c7F8189Ce89f1e24A7F5729e936b01Cb,null,null,59808074269990563881562,20000000000000
block_time,block_number,transaction_hash,event_type,from_address,to_address,token0,token1,amount0,amount1
2025-07-02 02:48:11 +00:00,22828657,0xa4420e7baf138cd9789f649404be0f0bef6247d01aa36a3dead309ebe51bfb75,PairCreated,0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f,0xaAF2fe003BB967EB7C35A391A2401e966bdB7F95,0x245F42Be43035dE23B7Ab956405C70D609E87C62,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0,0
2025-07-02 02:48:11 +00:00,22828657,0xa4420e7baf138cd9789f649404be0f0bef6247d01aa36a3dead309ebe51bfb75,Mint,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0xaAF2fe003BB967EB7C35A391A2401e966bdB7F95,null,null,300000000000000000000000000,100000000000000000
2025-07-02 02:48:59 +00:00,22828661,0x16d1686679462b0ab0922ecc12d4212f401e3f711cd3b50bfb3333d1f74334df,Burn,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,null,null,299940191925730009381357101,100019999999999999
2025-07-02 02:48:23 +00:00,22828658,0x3899046d1bbefb6e1735a7bdeb1084feff7fcc50a8a92452be2e49b7b4e58d2e,Swap,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7b4e9914c7F8189Ce89f1e24A7F5729e936b01Cb,null,null,59808074269990563881562,20000000000000
