block_time,block_number,transaction_hash,event_type,factory_address,pair_adress,token0,token1
2025-07-02 02:48:11 +00:00,22828657,0xa4420e7baf138cd9789f649404be0f0bef6247d01aa36a3dead309ebe51bfb75,PairCreated,0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f,0xaAF2fe003BB967EB7C35A391A2401e966bdB7F95,0x245F42Be43035dE23B7Ab956405C70D609E87C62,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
2025-07-02 02:51:47 +00:00,22828675,0x7dfaf403105e4495cede3123598ebf352f5b87c7b54e34ee5efa3c5fb11ca07c,PairCreated,0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f,0xe7bd565195D892a48eE77043BdffBE63bB93AdBE,0x8c29342E549ceaDe2dFAB4959DE907381C881Dd8,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
2025-07-02 02:54:59 +00:00,22828691,0x67e98c0df07b19855aa598c88369df9b11a247f275dfa12d0772b2d06291f6c8,PairCreated,0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f,0xB2EfCd0a613BbC59Fd05808A428F40490C237070,0xB6f52cb052047CB51D3A30e9bD6316B58c59Db57,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
