event_type,function_signature,token0_address,token1_address,block_number,transaction_hash,factory_address,pair_address,block_timestamp
PairCreated,0x0d3648bd0f6ba80134a33ba9275ac585d9d315f0ad8355cddefde31afa28d0e9,0x245f42be43035de23b7ab956405c70d609e87c62,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,22828657,0xa4420e7baf138cd9789f649404be0f0bef6247d01aa36a3dead309ebe51bfb75,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xaaf2fe003bb967eb7c35a391a2401e966bdb7f95,2025-07-02 02:48:11
PairCreated,0x0d3648bd0f6ba80134a33ba9275ac585d9d315f0ad8355cddefde31afa28d0e9,0x8c29342e549ceade2dfab4959de907381c881dd8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,22828675,0x7dfaf403105e4495cede3123598ebf352f5b87c7b54e34ee5efa3c5fb11ca07c,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xe7bd565195d892a48ee77043bdffbe63bb93adbe,2025-07-02 02:51:47
PairCreated,0x0d3648bd0f6ba80134a33ba9275ac585d9d315f0ad8355cddefde31afa28d0e9,0xb6f52cb052047cb51d3a30e9bd6316b58c59db57,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,22828691,0x67e98c0df07b19855aa598c88369df9b11a247f275dfa12d0772b2d06291f6c8,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb2efcd0a613bbc59fd05808a428f40490c237070,2025-07-02 02:54:59
